sku_id,category,supplier_region,unit_cost,lead_time_weeks
PART-10209,slow_moving,NA,1329.07,7
PART-10210,intermittent,EMEA,1346.05,1
PART-10211,slow_moving,NA,1092.06,1
PART-10212,fast_moving,EMEA,338.07,8
PART-10213,intermittent,NA,322.9,5
PART-10214,intermittent,APAC,2381.1,5
PART-10215,intermittent,APAC,1210.26,4
PART-10216,fast_moving,EMEA,2383.48,4
PART-10217,fast_moving,NA,417.31,6
PART-10218,seasonal,NA,1390.5,5
PART-10219,slow_moving,EMEA,527.22,2
PART-10220,fast_moving,EMEA,640.43,6
PART-10221,slow_moving,EMEA,84.84,6
PART-10222,intermittent,NA,306.19,1
PART-10223,seasonal,EMEA,2292.95,4
PART-10224,fast_moving,EMEA,810.62,7
PART-10225,seasonal,NA,1524.24,5
PART-10226,fast_moving,APAC,1167.89,2
PART-10227,slow_moving,NA,1007.12,1
PART-10228,intermittent,APAC,1334.4,5
PART-10229,fast_moving,APAC,476.22,4
PART-10230,fast_moving,NA,2471.62,8
PART-10231,slow_moving,NA,2047.59,5
PART-10232,seasonal,NA,1856.62,8
PART-10233,slow_moving,NA,1177.21,2
PART-10234,seasonal,EMEA,390.66,4
PART-10235,intermittent,EMEA,2302.46,2
PART-10236,slow_moving,APAC,860.05,5
PART-10237,intermittent,APAC,134.77,2
PART-10238,fast_moving,APAC,862.59,4
PART-10239,fast_moving,APAC,1988.2,3
PART-10240,intermittent,EMEA,1560.54,2
PART-10241,intermittent,NA,1879.59,1
PART-10242,fast_moving,NA,1986.15,5
PART-10243,slow_moving,EMEA,537.77,8
PART-10244,intermittent,NA,2310.22,2
PART-10245,seasonal,NA,1100.59,4
PART-10246,intermittent,NA,1601.14,2
PART-10247,slow_moving,EMEA,15.75,7
PART-10248,slow_moving,APAC,2483.49,4
PART-10249,slow_moving,NA,709.43,8
PART-10250,intermittent,APAC,164.54,2
PART-10251,seasonal,EMEA,1151.07,1
PART-10252,slow_moving,APAC,331.28,5
PART-10253,fast_moving,NA,389.29,6
PART-10254,fast_moving,EMEA,1584.38,8
PART-10255,intermittent,APAC,988.39,7
PART-10256,intermittent,APAC,2305.41,8
PART-10257,fast_moving,EMEA,804.7,6
PART-10258,fast_moving,EMEA,1818.19,3
PART-10259,slow_moving,NA,1158.14,4
PART-10260,fast_moving,APAC,1653.28,2
PART-10261,intermittent,NA,1503.24,4
PART-10262,fast_moving,EMEA,1187.23,3
PART-10263,fast_moving,NA,2375.65,1
PART-10264,seasonal,APAC,863.36,2
PART-10265,fast_moving,APAC,451.32,5
PART-10266,fast_moving,APAC,1698.45,3
PART-10267,fast_moving,EMEA,2116.56,8
PART-10268,fast_moving,NA,110.23,4
PART-10269,fast_moving,APAC,1129.59,8
PART-10270,fast_moving,EMEA,2232.29,6
PART-10271,fast_moving,APAC,1876.55,1
PART-10272,fast_moving,NA,2479.6,2
PART-10273,slow_moving,NA,1333.22,6
PART-10274,intermittent,NA,1653.39,5
PART-10275,slow_moving,NA,763.18,3
PART-10276,fast_moving,EMEA,2369.36,5
PART-10277,slow_moving,NA,922.18,8
PART-10278,seasonal,APAC,1848.89,4
PART-10279,seasonal,NA,1013.82,1
PART-10280,fast_moving,NA,1408.93,3
PART-10281,fast_moving,NA,1802.26,8
PART-10282,fast_moving,EMEA,1277.25,7
PART-10283,fast_moving,NA,2268.64,7
PART-10284,slow_moving,EMEA,1054.06,8
PART-10285,slow_moving,APAC,1621.21,1
PART-10286,fast_moving,NA,862.48,3
PART-10287,slow_moving,APAC,1026.31,1
PART-10288,slow_moving,APAC,1105.72,1
PART-10289,fast_moving,EMEA,323.26,7
PART-10290,intermittent,APAC,238.39,8
PART-10291,fast_moving,NA,1672.05,2
PART-10292,seasonal,EMEA,1642.24,6
PART-10293,fast_moving,APAC,1660.65,5
PART-10294,intermittent,NA,59.22,1
PART-10295,seasonal,EMEA,823.1,8
PART-10296,seasonal,APAC,502.55,7
PART-10297,intermittent,NA,1947.6,5
PART-10298,intermittent,EMEA,2152.97,6
PART-10299,intermittent,APAC,624.23,4
PART-10300,intermittent,NA,1672.94,7
PART-10301,fast_moving,EMEA,332.11,4
PART-10302,slow_moving,NA,695.13,8
PART-10303,slow_moving,NA,355.25,1
PART-10304,seasonal,EMEA,715.97,2
PART-10305,slow_moving,NA,1690.09,8
PART-10306,slow_moving,APAC,2276.71,3
PART-10307,intermittent,APAC,514.28,3
PART-10308,fast_moving,EMEA,1359.78,7
PART-10309,fast_moving,NA,1756.46,2
PART-10310,slow_moving,EMEA,2382.78,5
PART-10311,slow_moving,EMEA,1529.05,3
PART-10312,fast_moving,NA,645.22,2
PART-10313,slow_moving,NA,1567.44,8
PART-10314,slow_moving,NA,808.02,2
PART-10315,fast_moving,APAC,2440.56,1
PART-10316,slow_moving,NA,1005.19,6
PART-10317,intermittent,EMEA,1716.72,7
PART-10318,fast_moving,EMEA,67.84,2
PART-10319,seasonal,EMEA,1006.15,6
PART-10320,seasonal,APAC,2189.02,5
PART-10321,slow_moving,APAC,1529.47,7
PART-10322,fast_moving,EMEA,1115.42,2
PART-10323,slow_moving,NA,2340.48,8
PART-10324,intermittent,NA,2136.42,5
PART-10325,intermittent,APAC,812.32,7
PART-10326,intermittent,NA,1365.93,3
PART-10327,slow_moving,APAC,1229.66,8
PART-10328,intermittent,NA,1584.18,6
PART-10329,fast_moving,EMEA,841.94,2
PART-10330,intermittent,EMEA,618.07,8
PART-10331,fast_moving,NA,2282.55,7
PART-10332,intermittent,EMEA,2310.45,3
PART-10333,seasonal,NA,2109.87,5
PART-10334,fast_moving,EMEA,2445.73,4
PART-10335,intermittent,NA,1865.03,5
PART-10336,fast_moving,EMEA,1914.02,8
PART-10337,intermittent,APAC,1908.85,8
PART-10338,fast_moving,NA,1206.71,2
PART-10339,seasonal,EMEA,1146.57,8
PART-10340,fast_moving,EMEA,608.16,4
PART-10341,seasonal,APAC,1615.6,6
PART-10342,intermittent,APAC,730.41,7
PART-10343,slow_moving,EMEA,651.94,4
PART-10344,intermittent,APAC,1469.04,4
PART-10345,intermittent,NA,1030.86,4
PART-10346,seasonal,NA,554.95,7
PART-10347,fast_moving,NA,2041.98,4
PART-10348,slow_moving,NA,2152.82,3
PART-10349,fast_moving,EMEA,427.57,3
PART-10350,intermittent,APAC,28.69,2
PART-10351,fast_moving,EMEA,846.96,4
PART-10352,slow_moving,EMEA,1995.8,1
PART-10353,slow_moving,NA,2099.54,1
PART-10354,slow_moving,APAC,354.44,6
PART-10355,slow_moving,EMEA,1938.1,1
PART-10356,intermittent,EMEA,298.1,5
PART-10357,intermittent,APAC,981.26,7
PART-10358,slow_moving,APAC,2496.54,6
PART-10359,slow_moving,EMEA,489.55,4
PART-10360,seasonal,APAC,393.37,2
PART-10361,fast_moving,APAC,1062.77,8
PART-10362,fast_moving,EMEA,1552.97,7
PART-10363,fast_moving,APAC,2332.92,5
PART-10364,intermittent,EMEA,2452.24,1
PART-10365,slow_moving,APAC,183.41,1
PART-10366,intermittent,APAC,353.61,3
PART-10367,intermittent,EMEA,1978.94,2
PART-10368,fast_moving,NA,683.87,7
PART-10369,seasonal,EMEA,2213.27,2
PART-10370,intermittent,NA,1662.0,3
PART-10371,fast_moving,EMEA,288.49,8
PART-10372,slow_moving,EMEA,2083.0,7
PART-10373,fast_moving,EMEA,449.13,2
PART-10374,fast_moving,NA,1064.5,4
PART-10375,fast_moving,NA,1384.94,5
PART-10376,seasonal,NA,1256.91,6
PART-10377,slow_moving,NA,1718.55,8
PART-10378,slow_moving,EMEA,1635.19,7
PART-10379,intermittent,EMEA,2480.18,8
PART-10380,slow_moving,NA,2498.56,1
PART-10381,seasonal,APAC,1295.98,2
PART-10382,intermittent,EMEA,247.05,5
PART-10383,slow_moving,NA,1822.33,1
PART-10384,slow_moving,EMEA,2441.89,3
PART-10385,seasonal,APAC,802.63,2
PART-10386,intermittent,EMEA,1158.41,8
PART-10387,seasonal,APAC,1067.69,1
PART-10388,fast_moving,NA,138.03,2
PART-10389,seasonal,NA,1683.94,2
PART-10390,intermittent,APAC,889.81,2
PART-10391,fast_moving,EMEA,1970.79,5
PART-10392,slow_moving,NA,2081.98,3
PART-10393,intermittent,NA,2054.86,8
PART-10394,fast_moving,APAC,1047.5,3
PART-10395,slow_moving,EMEA,810.65,5
PART-10396,intermittent,EMEA,1874.56,6
PART-10397,fast_moving,EMEA,2005.46,6
PART-10398,slow_moving,APAC,1233.23,7
PART-10399,slow_moving,APAC,2233.65,2
PART-10400,fast_moving,NA,368.33,5
PART-10401,seasonal,APAC,2198.88,7
PART-10402,intermittent,APAC,249.28,7
PART-10403,fast_moving,APAC,392.28,5
PART-10404,seasonal,APAC,1339.26,6
PART-10405,seasonal,APAC,178.12,7
PART-10406,fast_moving,EMEA,141.49,5
PART-10407,intermittent,NA,11.29,8
PART-10408,fast_moving,APAC,1096.43,2
PART-10409,seasonal,APAC,1938.81,3
PART-10410,intermittent,APAC,96.75,1
PART-10411,intermittent,EMEA,1634.12,1
PART-10412,fast_moving,APAC,2059.59,4
PART-10413,seasonal,NA,428.32,2
PART-10414,fast_moving,EMEA,375.69,4
PART-10415,fast_moving,NA,2153.39,4
PART-10416,fast_moving,EMEA,2059.58,5
PART-10417,intermittent,EMEA,1351.96,8
PART-10418,fast_moving,NA,2049.81,7
PART-10419,seasonal,EMEA,240.96,4
PART-10420,intermittent,NA,992.26,3
PART-10421,fast_moving,NA,1847.12,7
PART-10422,fast_moving,EMEA,651.06,1
PART-10423,fast_moving,NA,1883.3,5
PART-10424,intermittent,APAC,1265.4,4
PART-10425,intermittent,NA,1878.16,2
PART-10426,fast_moving,NA,1167.05,5
PART-10427,intermittent,NA,926.08,3
PART-10428,fast_moving,APAC,555.78,2
PART-10429,intermittent,NA,528.86,6
PART-10430,seasonal,EMEA,1881.21,2
PART-10431,intermittent,APAC,306.09,6
PART-10432,intermittent,APAC,224.1,2
PART-10433,intermittent,EMEA,448.97,4
PART-10434,fast_moving,APAC,446.61,7
PART-10435,fast_moving,APAC,2059.54,2
PART-10436,fast_moving,EMEA,1002.28,7
PART-10437,slow_moving,EMEA,2476.07,6
PART-10438,intermittent,APAC,351.66,8
PART-10439,intermittent,NA,1637.31,2
PART-10440,seasonal,NA,1127.34,6
PART-10441,fast_moving,EMEA,988.37,8
PART-10442,intermittent,NA,2188.96,7
PART-10443,fast_moving,EMEA,2439.23,2
PART-10444,fast_moving,APAC,2183.42,7
PART-10445,intermittent,APAC,488.83,1
PART-10446,seasonal,NA,559.79,5
PART-10447,intermittent,NA,1643.62,4
PART-10448,fast_moving,NA,729.82,5
PART-10449,intermittent,APAC,1839.47,5
PART-10450,fast_moving,APAC,1420.39,1
PART-10451,seasonal,APAC,1381.76,5
PART-10452,intermittent,APAC,2073.08,8
PART-10453,fast_moving,APAC,1779.23,4
PART-10454,fast_moving,EMEA,76.18,3
PART-10455,fast_moving,APAC,133.15,8
PART-10456,seasonal,NA,1507.88,1
PART-10457,slow_moving,EMEA,1220.62,4
PART-10458,intermittent,APAC,657.86,5
PART-10459,intermittent,EMEA,1052.45,4
PART-10460,slow_moving,NA,1897.2,8
PART-10461,fast_moving,APAC,2068.26,4
PART-10462,seasonal,APAC,1407.45,8
PART-10463,fast_moving,APAC,969.57,1
PART-10464,slow_moving,NA,684.03,6
PART-10465,intermittent,APAC,1309.58,5
PART-10466,intermittent,EMEA,793.73,2
PART-10467,seasonal,EMEA,1414.6,2
PART-10468,fast_moving,NA,1694.86,6
PART-10469,slow_moving,APAC,174.54,6
PART-10470,slow_moving,NA,12.66,5
PART-10471,slow_moving,NA,538.57,1
PART-10472,fast_moving,EMEA,2237.33,5
PART-10473,fast_moving,APAC,1619.26,8
PART-10474,fast_moving,NA,438.18,1
PART-10475,fast_moving,APAC,2226.76,4
PART-10476,slow_moving,EMEA,1180.19,4
PART-10477,intermittent,EMEA,1195.47,8
PART-10478,intermittent,APAC,2339.5,3
PART-10479,slow_moving,EMEA,158.12,4
PART-10480,slow_moving,APAC,545.79,6
PART-10481,fast_moving,APAC,1468.57,1
PART-10482,slow_moving,APAC,496.76,7
PART-10483,fast_moving,APAC,1702.02,7
PART-10484,fast_moving,EMEA,543.09,6
PART-10485,slow_moving,NA,256.9,6
PART-10486,slow_moving,APAC,525.39,6
PART-10487,fast_moving,APAC,1062.61,7
PART-10488,slow_moving,APAC,448.58,8
PART-10489,slow_moving,EMEA,345.38,4
PART-10490,intermittent,APAC,2152.1,4
PART-10491,intermittent,EMEA,807.79,6
PART-10492,intermittent,APAC,908.29,2
PART-10493,fast_moving,APAC,147.62,7
PART-10494,intermittent,EMEA,899.85,7
PART-10495,slow_moving,EMEA,669.37,6
PART-10496,slow_moving,EMEA,1530.11,3
PART-10497,intermittent,NA,521.42,3
PART-10498,slow_moving,EMEA,2222.03,4
PART-10499,slow_moving,NA,2324.87,6
